"month","member_casual","number_of_rides","average_ride_length"
"January","casual",29618,14.8803863641479
"January","member",118662,10.0045626794312
"February","casual",32774,17.6733777791339
"February","member",116778,10.4225320693966
"March","casual",46786,16.7213211929494
"March","member",153647,10.1713975324391
"April","casual",110526,22.6231113041276
"April","member",213647,11.5565026266068
"May","casual",177025,24.5264160429319
"May","member",286162,12.6948277549081
"June","casual",292053,25.0202246966589
"June","member",328258,13.6845328471304
"July","casual",311649,25.095021749896
"July","member",330980,13.5039404697162
"August","casual",270074,23.2856972533454
"August","member",335201,13.1069662680004
"September","casual",220905,21.8047856921905
"September","member",314214,12.6224949662757
"October","casual",151312,20.4694453623418
"October","member",262926,11.6756841595481
"November","casual",73533,17.2467327594413
"November","member",182219,10.8277239658506
"December","casual",31502,14.8418470784924
"December","member",103891,10.20113275773
