"member_casual","start_time","ride_count"
"casual","00",32053
"member","00",25582
"casual","01",20813
"member","01",15645
"casual","02",12246
"member","02",8736
"casual","03",6763
"member","03",5268
"casual","04",4515
"member","04",6097
"casual","05",8707
"member","05",26049
"casual","06",23390
"member","06",81660
"casual","07",40346
"member","07",151664
"casual","08",55066
"member","08",180585
"casual","09",56190
"member","09",120035
"casual","10",72233
"member","10",109540
"casual","11",93437
"member","11",129717
"casual","12",109905
"member","12",149403
"casual","13",114531
"member","13",147804
"casual","14",121187
"member","14",148800
"casual","15",134839
"member","15",183330
"casual","16",153614
"member","16",249039
"casual","17",170534
"member","17",297724
"casual","18",148452
"member","18",233303
"casual","19",111916
"member","19",165938
"casual","20",81388
"member","20",115161
"casual","21",69348
"member","21",88668
"casual","22",61476
"member","22",65505
"casual","23",44808
"member","23",41332
